,0,1,2,3,4,5,6,7,8,9,10,11,12
0,nro_fila,bit0,bit1,bit2,bit3,bit4,bit5,bit6,bit7,bit8,bit9,letra,dist
1,0,0,0,0,0,0,0,0,0,0,0,b,0
2,1,0,0,1,0,0,0,0,0,0,0,b,0
3,2,0,0,1,0,0,0,0,0,0,0,b,0
4,3,0,0,1,0,0,0,0,0,0,0,b,0
5,4,0,0,1,1,1,1,1,0,0,0,b,0
6,5,0,0,1,0,0,0,0,1,0,0,b,0
7,6,0,0,1,0,0,0,0,1,0,0,b,0
8,7,0,0,1,0,0,0,0,1,0,0,b,0
9,8,0,0,1,1,1,1,1,0,0,0,b,0
10,9,0,0,0,0,0,0,0,0,0,0,b,0
11,0,0,0,0,0,0,0,0,0,0,0,d,0
12,1,0,0,0,0,0,0,0,1,0,0,d,0
13,2,0,0,0,0,0,0,0,1,0,0,d,0
14,3,0,0,0,0,0,0,0,1,0,0,d,0
15,4,0,0,0,1,1,1,1,1,0,0,d,0
16,5,0,0,1,0,0,0,0,1,0,0,d,0
17,6,0,0,1,0,0,0,0,1,0,0,d,0
18,7,0,0,1,0,0,0,0,1,0,0,d,0
19,8,0,0,0,1,1,1,1,1,0,0,d,0
20,9,0,0,0,0,0,0,0,0,0,0,d,0
21,0,0,0,0,0,0,0,0,0,0,0,f,0
22,1,0,0,0,0,0,1,1,0,0,0,f,0
23,2,0,0,0,0,1,0,0,0,0,0,f,0
24,3,0,0,0,0,1,0,0,0,0,0,f,0
25,4,0,0,1,1,1,1,1,0,0,0,f,0
26,5,0,0,0,0,1,0,0,0,0,0,f,0
27,6,0,0,0,0,1,0,0,0,0,0,f,0
28,7,0,0,0,0,1,0,0,0,0,0,f,0
29,8,0,0,0,0,1,0,0,0,0,0,f,0
30,9,0,0,0,0,0,0,0,0,0,0,f,0
31,0,0,0,0,0,0,0,0,0,0,0,b,0
32,1,0,0,1,0,0,0,0,0,0,0,b,0
33,2,0,0,1,0,0,0,0,0,0,0,b,0
34,3,0,0,1,0,0,0,0,0,0,0,b,0
35,4,0,0,1,1,1,1,1,0,0,0,b,0
36,5,0,0,1,0,0,0,0,1,0,0,b,0
37,6,0,0,1,0,0,0,0,1,0,0,b,0
38,7,0,0,1,0,0,0,0,1,0,0,b,0
39,8,0,0,1,1,1,1,1,0,0,0,b,0
40,9,0,0,0,0,0,0,0,0,0,0,b,0
41,0,0,0,0,0,0,0,0,0,0,0,d,0
42,1,0,0,0,0,0,0,0,1,0,0,d,0
43,2,0,0,0,0,0,0,0,1,0,0,d,0
44,3,0,0,0,0,0,0,0,1,0,0,d,0
45,4,0,0,0,1,1,1,1,1,0,0,d,0
46,5,0,0,1,0,0,0,0,1,0,0,d,0
47,6,0,0,1,0,0,0,0,1,0,0,d,0
48,7,0,0,1,0,0,0,0,1,0,0,d,0
49,8,0,0,0,1,1,1,1,1,0,0,d,0
50,9,0,0,0,0,0,0,0,0,0,0,d,0
51,0,0,0,0,0,0,0,0,0,0,0,f,0
52,1,0,0,0,0,0,1,1,0,0,0,f,0
53,2,0,0,0,0,1,0,0,0,0,0,f,0
54,3,0,0,0,0,1,0,0,0,0,0,f,0
55,4,0,0,1,1,1,1,1,0,0,0,f,0
56,5,0,0,0,0,1,0,0,0,0,0,f,0
57,6,0,0,0,0,1,0,0,0,0,0,f,0
58,7,0,0,0,0,1,0,0,0,0,0,f,0
59,8,0,0,0,0,1,0,0,0,0,0,f,0
60,9,0,0,0,0,0,0,0,0,0,0,f,0
61,0,0,0,0,0,0,0,0,0,0,0,b,0
62,1,0,0,1,0,0,0,0,0,0,0,b,0
63,2,0,0,1,0,0,0,0,0,0,0,b,0
64,3,0,0,1,0,0,0,0,0,0,0,b,0
65,4,0,0,1,1,1,1,1,0,0,0,b,0
66,5,0,0,1,0,0,0,0,1,0,0,b,0
67,6,0,0,1,0,0,0,0,1,0,0,b,0
68,7,0,0,1,0,0,0,0,1,0,0,b,0
69,8,0,0,1,1,1,1,1,0,0,0,b,0
70,9,0,0,0,0,0,0,0,0,0,0,b,0
71,0,0,0,0,0,0,0,0,0,0,0,d,0
72,1,0,0,0,0,0,0,0,1,0,0,d,0
73,2,0,0,0,0,0,0,0,1,0,0,d,0
74,3,0,0,0,0,0,0,0,1,0,0,d,0
75,4,0,0,0,1,1,1,1,1,0,0,d,0
76,5,0,0,1,0,0,0,0,1,0,0,d,0
77,6,0,0,1,0,0,0,0,1,0,0,d,0
78,7,0,0,1,0,0,0,0,1,0,0,d,0
79,8,0,0,0,1,1,1,1,1,0,0,d,0
80,9,0,0,0,0,0,0,0,0,0,0,d,0
81,0,0,0,0,0,0,0,0,0,0,0,f,0
82,1,0,0,0,0,0,1,1,0,0,0,f,0
83,2,0,0,0,0,1,0,0,0,0,0,f,0
84,3,0,0,0,0,1,0,0,0,0,0,f,0
85,4,0,0,1,1,1,1,1,0,0,0,f,0
86,5,0,0,0,0,1,0,0,0,0,0,f,0
87,6,0,0,0,0,1,0,0,0,0,0,f,0
88,7,0,0,0,0,1,0,0,0,0,0,f,0
89,8,0,0,0,0,1,0,0,0,0,0,f,0
90,9,0,0,0,0,0,0,0,0,0,0,f,0
91,0,0,0,0,0,0,0,0,0,0,0,b,0
92,1,0,0,1,0,0,0,0,0,0,0,b,0
93,2,0,0,1,0,0,0,0,0,0,0,b,0
94,3,0,0,1,0,0,0,0,0,0,0,b,0
95,4,0,0,1,1,1,1,1,0,0,0,b,0
96,5,0,0,1,0,0,0,0,1,0,0,b,0
97,6,0,0,1,0,0,0,0,1,0,0,b,0
98,7,0,0,1,0,0,0,0,1,0,0,b,0
99,8,0,0,1,1,1,1,1,0,0,0,b,0
100,9,0,0,0,0,0,0,0,0,0,0,b,0
101,0,0,0,0,0,0,0,0,0,0,0,d,0
102,1,0,0,0,0,0,0,0,1,0,0,d,0
103,2,0,0,0,0,0,0,0,1,0,0,d,0
104,3,0,0,0,0,0,0,0,1,0,0,d,0
105,4,0,0,0,1,1,1,1,1,0,0,d,0
106,5,0,0,1,0,0,0,0,1,0,0,d,0
107,6,0,0,1,0,0,0,0,1,0,0,d,0
108,7,0,0,1,0,0,0,0,1,0,0,d,0
109,8,0,0,0,1,1,1,1,1,0,0,d,0
110,9,0,0,0,0,0,0,0,0,0,0,d,0
111,0,0,0,0,0,0,0,0,0,0,0,f,0
112,1,0,0,0,0,0,1,1,0,0,0,f,0
113,2,0,0,0,0,1,0,0,0,0,0,f,0
114,3,0,0,0,0,1,0,0,0,0,0,f,0
115,4,0,0,1,1,1,1,1,0,0,0,f,0
116,5,0,0,0,0,1,0,0,0,0,0,f,0
117,6,0,0,0,0,1,0,0,0,0,0,f,0
118,7,0,0,0,0,1,0,0,0,0,0,f,0
119,8,0,0,0,0,1,0,0,0,0,0,f,0
120,9,0,0,0,0,0,0,0,0,0,0,f,0
121,0,0,0,0,0,0,0,0,0,0,0,b,0
122,1,0,0,1,0,0,0,0,0,0,0,b,0
123,2,0,0,1,0,0,0,0,0,0,0,b,0
124,3,0,0,1,0,0,0,0,0,0,0,b,0
125,4,0,0,1,1,1,1,1,0,0,0,b,0
126,5,0,0,1,0,0,0,0,1,0,0,b,0
127,6,0,0,1,0,0,0,0,1,0,0,b,0
128,7,0,0,1,0,0,0,0,1,0,0,b,0
129,8,0,0,1,1,1,1,1,0,0,0,b,0
130,9,0,0,0,0,0,0,0,0,0,0,b,0
131,0,0,0,0,0,0,0,0,0,0,0,d,0
132,1,0,0,0,0,0,0,0,1,0,0,d,0
133,2,0,0,0,0,0,0,0,1,0,0,d,0
134,3,0,0,0,0,0,0,0,1,0,0,d,0
135,4,0,0,0,1,1,1,1,1,0,0,d,0
136,5,0,0,1,0,0,0,0,1,0,0,d,0
137,6,0,0,1,0,0,0,0,1,0,0,d,0
138,7,0,0,1,0,0,0,0,1,0,0,d,0
139,8,0,0,0,1,1,1,1,1,0,0,d,0
140,9,0,0,0,0,0,0,0,0,0,0,d,0
141,0,0,0,0,0,0,0,0,0,0,0,f,0
142,1,0,0,0,0,0,1,1,0,0,0,f,0
143,2,0,0,0,0,1,0,0,0,0,0,f,0
144,3,0,0,0,0,1,0,0,0,0,0,f,0
145,4,0,0,1,1,1,1,1,0,0,0,f,0
146,5,0,0,0,0,1,0,0,0,0,0,f,0
147,6,0,0,0,0,1,0,0,0,0,0,f,0
148,7,0,0,0,0,1,0,0,0,0,0,f,0
149,8,0,0,0,0,1,0,0,0,0,0,f,0
150,9,0,0,0,0,0,0,0,0,0,0,f,0
151,0,0,0,0,0,0,0,0,0,0,0,b,0
152,1,0,0,1,0,0,0,0,0,0,0,b,0
153,2,0,0,1,0,0,0,0,0,0,0,b,0
154,3,0,0,1,0,0,0,0,0,0,0,b,0
155,4,0,0,1,1,1,1,1,0,0,0,b,0
156,5,0,0,1,0,0,0,0,1,0,0,b,0
157,6,0,0,1,0,0,0,0,1,0,0,b,0
158,7,0,0,1,0,0,0,0,1,0,0,b,0
159,8,0,0,1,1,1,1,1,0,0,0,b,0
160,9,0,0,0,0,0,0,0,0,0,0,b,0
161,0,0,0,0,0,0,0,0,0,0,0,d,0
162,1,0,0,0,0,0,0,0,1,0,0,d,0
163,2,0,0,0,0,0,0,0,1,0,0,d,0
164,3,0,0,0,0,0,0,0,1,0,0,d,0
165,4,0,0,0,1,1,1,1,1,0,0,d,0
166,5,0,0,1,0,0,0,0,1,0,0,d,0
167,6,0,0,1,0,0,0,0,1,0,0,d,0
168,7,0,0,1,0,0,0,0,1,0,0,d,0
169,8,0,0,0,1,1,1,1,1,0,0,d,0
170,9,0,0,0,0,0,0,0,0,0,0,d,0
171,0,0,0,0,0,0,0,0,0,0,0,f,0
172,1,0,0,0,0,0,1,1,0,0,0,f,0
173,2,0,0,0,0,1,0,0,0,0,0,f,0
174,3,0,0,0,0,1,0,0,0,0,0,f,0
175,4,0,0,1,1,1,1,1,0,0,0,f,0
176,5,0,0,0,0,1,0,0,0,0,0,f,0
177,6,0,0,0,0,1,0,0,0,0,0,f,0
178,7,0,0,0,0,1,0,0,0,0,0,f,0
179,8,0,0,0,0,1,0,0,0,0,0,f,0
180,9,0,0,0,0,0,0,0,0,0,0,f,0
181,0,0,0,0,0,0,0,0,0,0,0,b,0
182,1,0,0,1,0,0,0,0,0,0,0,b,0
183,2,0,0,1,0,0,0,0,0,0,0,b,0
184,3,0,0,1,0,0,0,0,0,0,0,b,0
185,4,0,0,1,1,1,1,1,0,0,0,b,0
186,5,0,0,1,0,0,0,0,1,0,0,b,0
187,6,0,0,1,0,0,0,0,1,0,0,b,0
188,7,0,0,1,0,0,0,0,1,0,0,b,0
189,8,0,0,1,1,1,1,1,0,0,0,b,0
190,9,0,0,0,0,0,0,0,0,0,0,b,0
191,0,0,0,0,0,0,0,0,0,0,0,d,0
192,1,0,0,0,0,0,0,0,1,0,0,d,0
193,2,0,0,0,0,0,0,0,1,0,0,d,0
194,3,0,0,0,0,0,0,0,1,0,0,d,0
195,4,0,0,0,1,1,1,1,1,0,0,d,0
196,5,0,0,1,0,0,0,0,1,0,0,d,0
197,6,0,0,1,0,0,0,0,1,0,0,d,0
198,7,0,0,1,0,0,0,0,1,0,0,d,0
199,8,0,0,0,1,1,1,1,1,0,0,d,0
200,9,0,0,0,0,0,0,0,0,0,0,d,0
201,0,0,0,0,0,0,0,0,0,0,0,f,0
202,1,0,0,0,0,0,1,1,0,0,0,f,0
203,2,0,0,0,0,1,0,0,0,0,0,f,0
